Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ezequiel Duran","TEX",64,234,4,29,36,5,0.072649572,0.256410256,0.145539906,0.36423841,0.276995305,0.330472103,0.422535211,0.33075293016024415,0.3040770493544541,110.16380402456353,0.46699533611536026,3.2807032087118295,3.7109293341636658,1.56098446829023,"Ezequiel Duran",23733,677649
"Hunter Goodman","COL",68,288,20,45,37,5,0.083333333,0.333333333,0.277992278,0.3125,0.25096525,0.322916666,0.528957528,0.36448212978723166,0.327369125796036,118.8659419432606,-1.7000032858923078,4.703238522425433,1.207293689250946,1.5474778093055999,"Hunter Goodman",29715,696100
"Wilyer Abreu","BOS",69,298,8,31,34,5,0.087248322,0.197986577,0.152985075,0.323529411,0.276119402,0.336700336,0.429104477,0.33548007905483246,0.3394894098831435,107.79790450672348,-0.566657398827374,2.1825090960694196,1.8633983135223389,1.4927938907592997,"Wilyer Abreu",23772,677800
"Seiya Suzuki","CHC",59,245,10,32,28,0,0.106122448,0.265306122,0.176744186,0.319148936,0.255813953,0.342857142,0.432558139,0.33934950360581895,0.33623860887259494,117.25069926662131,-0.7852742979303002,4.195555593553403,2.4285011291503906,1.4790959144737985,"Seiya Suzuki",30116,673548
"Fernando Tatis Jr.","SDP",71,309,2,28,24,17,0.090614886,0.207119741,0.065934066,0.349056603,0.278388278,0.344155844,0.344322344,0.30975709520644396,0.34871641277101995,99.02662109165749,-0.9115337319672108,-1.2659954450912412,5.696105003356934,1.4655039461442083,"Fernando Tatis Jr.",19709,665487
"Gabriel Moreno","ARI",48,188,6,24,24,4,0.101063829,0.180851063,0.177914111,0.293650793,0.26380368,0.34574468,0.441717791,0.3460098000917029,0.3635019281859039,119.00201997918447,-0.14608712494373322,4.0639559645349195,3.9749779887497425,1.436255196249848,"Gabriel Moreno",22664,672515
"Spencer Horwitz","PIT",68,269,9,30,31,1,0.137546468,0.137546468,0.169642857,0.291208791,0.276785714,0.382899628,0.446428571,0.36744230741905015,0.32991544021549724,132.71393306895308,-1.4563318155705929,8.914508850966874,-3.5165141820907593,1.4328911304429286,"Spencer Horwitz",26477,687462
"Maikel Garcia","KCR",67,285,3,32,30,5,0.084210526,0.154385964,0.111969112,0.308411214,0.266409266,0.326315789,0.378378378,0.3136355768170273,0.32173783151726976,94.13284880641098,0.8105285093188286,-1.167711612101046,4.936892509460449,1.417456801149303,"Maikel Garcia",22715,672580
"Jacob Young","WSN",72,243,8,31,28,7,0.049382716,0.189300411,0.159292035,0.261627906,0.234513274,0.285123966,0.393805309,0.2993531163073768,0.3058625850440061,88.19418891249687,2.2580619184300303,-1.122827952499124,6.862536013126373,1.3823996252424313,"Jacob Young",29931,696285
"Jake Bauers","MIL",61,246,13,40,46,5,0.12601626,0.235772357,0.240566038,0.319148936,0.273584905,0.373983739,0.514150943,0.3839469247884711,0.3639633814493815,146.62072074054342,1.2094525545835495,14.72529160838855,-9.09595251083374,1.3809952756319126,"Jake Bauers",15194,641343
